"NUMQ","FET","CONTFET","DELICTE","VEHIMV","ONV","CONFADR","MUNI_FET","MUNI_FET_1A3","DISTRICTE_FET","BARRI_FET","BARRI_FET_TOTAMB","ONP","ESTACIO_FET","TRANSP_FET","TRANSP_LINIA_FET","TRANSP_ESTACIO_LINIA_FET","VAL_AFEC","NOT_AGRE_1A3","QUI01_AGRE","SIG","MOT_A","MOT_B","MOT_C","MOT_D","MOT_E","MOT_F","MOT_G","MOT_H","MOT_J","MOT_08","MOT_09","MOT_10","MOT_11","MOT_12","MOT_13","MOT_14","MOT_15","MOT_16","MOT_17","MOT_18","MOT_19","MOT_95","DISTRICTE_RES","SEXE","EDAT1699_1A4","NACIO_ACT_UE","NIVELLSOCIO_LLAR","HAB_PERS_1A4","AMBIT","CONSUM","I_ATRACCIO","PES"
200915,"INTENT/S DE ROBATORI SENSE VIOLÈNCIA A LA SEVA BOTIGA O NEGOCI","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","EIXAMPLE","LA SAGRADA FAMÍLIA","LA SAGRADA FAMÍLIA",,,,,,"10 = LI VA AFECTAR MOLTÍSSIM","SÍ","NO EL/LA CONEIXIA","SÍ, HO VA DENUNCIAR PERÒ NO VA ARRIBAR A FIRMAR CAP DOCUMENT","SÍ","NO","SÍ","NO","NO","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","HORTA-GUINARDÓ","DONA","DE 45 A 64 ANYS","ESPANYOLA","MITJÀ","TRES","NEGOCI","NO","ALTRES DISTRICTES",1.06568948435917
200916,"INTIMIDACIONS, COACCIONS O AMENACES","PRIMER CAS","NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SARRIÀ-SANT GERVASI","HOME","DE 45 A 64 ANYS","ESPANYOLA","ALT","QUATRE O MÉS","SEGURETAT PERSONAL","SÍ",,0.984028784394438
200916,"INTIMIDACIONS, COACCIONS O AMENACES","SEGON CAS","NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SARRIÀ-SANT GERVASI","HOME","DE 45 A 64 ANYS","ESPANYOLA","ALT","QUATRE O MÉS","SEGURETAT PERSONAL","SÍ",,0.984028784394438
200921,"ROBATORI/S D’OBJECTES DE L’INTERIOR DEL VEHICLE","PRIMER CAS","SÍ","COTXE","AL CARRER",,"BARCELONA","BARCELONA","GRÀCIA","EL COLL","EL COLL",,,,,,"10 = LI VA AFECTAR MOLTÍSSIM","NO, I NO SAP QUI HO VA FER",,"SÍ, HO VA DENUNCIAR PERÒ NO VA ARRIBAR A FIRMAR CAP DOCUMENT","NO","NO","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","GRÀCIA","HOME","DE 30 A 44 ANYS","ALTRES UNIÓ EUROPEA","MITJÀ","DUES","VEHICLE","SÍ","MATEIX DISTRICTE",1.09480716104277
200922,"INTENT/S DE ROBATORI AL SEU DOMICILI","PRIMER CAS","SÍ",,,"SÍ","BARCELONA","BARCELONA","CIUTAT VELLA","EL BARRI GÒTIC","EL BARRI GÒTIC",,,,,,"2","NO, I NO SAP QUI HO VA FER",,"NO, NO HO VA DENUNCIAR","NO","NO","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","CIUTAT VELLA","DONA","DE 16 A 29 ANYS","RESTA PAÏSOS","MITJÀ","NO CONTESTA","DOMICILI","NO","MATEIX DISTRICTE",0.734224052744364
200923,"ALTRA ESTAFA O FRAU","PRIMER CAS","SÍ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HORTA-GUINARDÓ","DONA","DE 16 A 29 ANYS","ESPANYOLA","MITJÀ","QUATRE O MÉS","SEGURETAT PERSONAL","SÍ",,0.800833232470585
200927,"ROBATORI/S D’ACCESSORIS O PARTS DEL VEHICLE","PRIMER CAS","SÍ","COTXE","AL CARRER",,"BARCELONA","BARCELONA","SANT MARTÍ","(GB) EL POBLENOU I DIAGONAL MAR","(GB) EL POBLENOU I DIAGONAL MAR",,,,,,"5","NO, I NO SAP QUI HO VA FER",,"NO, NO HO VA DENUNCIAR","SÍ","NO","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SANT MARTÍ","DONA","DE 45 A 64 ANYS","ESPANYOLA","MITJÀ","QUATRE O MÉS","VEHICLE","SÍ","MATEIX DISTRICTE",1.26328091655572
200927,"ROBATORI/S D’ACCESSORIS O PARTS DEL VEHICLE","SEGON CAS","SÍ","COTXE","AL CARRER",,"BARCELONA","BARCELONA","SANT MARTÍ","(DIST) SANT MARTÍ","(DIST) SANT MARTÍ",,,,,,"3","NO, I NO SAP QUI HO VA FER",,"NO, NO HO VA DENUNCIAR","SÍ","NO","SÍ","SÍ","NO","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SANT MARTÍ","DONA","DE 45 A 64 ANYS","ESPANYOLA","MITJÀ","QUATRE O MÉS","VEHICLE","SÍ","MATEIX DISTRICTE",1.26328091655572
200927,"ROBATORI/S DEL VEHICLE SENCER","PRIMER CAS","NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SANT MARTÍ","DONA","DE 45 A 64 ANYS","ESPANYOLA","MITJÀ","QUATRE O MÉS","VEHICLE","SÍ",,1.26328091655572
200927,"ROBATORI/S DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","NO HO SAP","NO HO SAP","NO HO SAP","A UN CARRER TRANSITAT",,,,,"5","NO, I NO SAP QUI HO VA FER",,"SÍ, HO VA DENUNCIAR I VA FIRMAR UN DOCUMENT",,,,,,,,,,,,,,,,,,,,,,,"SANT MARTÍ","DONA","DE 45 A 64 ANYS","ESPANYOLA","MITJÀ","QUATRE O MÉS","SEGURETAT PERSONAL","SÍ","NO HO SAP",1.26328091655572
200927,"ROBATORI/S DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","SEGON CAS","SÍ",,,,"BARCELONA","BARCELONA","EIXAMPLE","LA DRETA DE L'EIXAMPLE","LA DRETA DE L'EIXAMPLE","A UN CARRER TRANSITAT",,,,,"4","SÍ","NO EL/LA CONEIXIA","SÍ, HO VA DENUNCIAR I VA FIRMAR UN DOCUMENT",,,,,,,,,,,,,,,,,,,,,,,"SANT MARTÍ","DONA","DE 45 A 64 ANYS","ESPANYOLA","MITJÀ","QUATRE O MÉS","SEGURETAT PERSONAL","SÍ","ALTRES DISTRICTES",1.26328091655572
200927,"INTENT/S DE ROBATORI DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","NO HO SAP","NO HO SAP","NO HO SAP","A UN CARRER TRANSITAT",,,,,"6","NO, I NO SAP QUI HO VA FER",,"NO, NO HO VA DENUNCIAR","SÍ","NO","SÍ","SÍ","NO","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SANT MARTÍ","DONA","DE 45 A 64 ANYS","ESPANYOLA","MITJÀ","QUATRE O MÉS","SEGURETAT PERSONAL","NO","NO HO SAP",1.26328091655572
200927,"INTENT/S DE ROBATORI DEL TELÈFON MÒBIL","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","DURANT EL TRAJECTE, DINS UN VAGÓ DE METRO, DE FGC, DE TRAMVIA, DE TREN O D'AUTOBÚS",,"METRO","METRO - LÍNIA 4 (GROGA)","L4","3","NO, I NO SAP QUI HO VA FER",,"NO, NO HO VA DENUNCIAR","SÍ","NO","SÍ","SÍ","NO","NO","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SANT MARTÍ","DONA","DE 45 A 64 ANYS","ESPANYOLA","MITJÀ","QUATRE O MÉS","SEGURETAT PERSONAL","NO","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)",1.26328091655572
200927,"INTENT/S DE ROBATORI D'ALTRES DISPOSITIUS ELECTRÒNICS","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","A UNA ESTACIÓ DE TREN, METRO, FGC, AEROPORT O TERMINAL-ESTACIÓ D'AUTOBUSOS (VESTÍBULS, ANDANES, ESCALES,...)","NO HO SAP / NO HO RECORDA",,,"NO HO SAP / NO HO RECORDA","5","NO, I NO SAP QUI HO VA FER",,"NO, NO HO VA DENUNCIAR","SÍ","NO","SÍ","SÍ","NO","NO","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SANT MARTÍ","DONA","DE 45 A 64 ANYS","ESPANYOLA","MITJÀ","QUATRE O MÉS","SEGURETAT PERSONAL","NO","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)",1.26328091655572
200927,"INTIMIDACIONS, COACCIONS O AMENACES","PRIMER CAS","NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SANT MARTÍ","DONA","DE 45 A 64 ANYS","ESPANYOLA","MITJÀ","QUATRE O MÉS","SEGURETAT PERSONAL","SÍ",,1.26328091655572
200927,"CÀRRECS INDEGUTS A LA TARGETA BANCÀRIA O EXTRACCIÓ DE COMPTES BANCARIS","PRIMER CAS","NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SANT MARTÍ","DONA","DE 45 A 64 ANYS","ESPANYOLA","MITJÀ","QUATRE O MÉS","SEGURETAT PERSONAL","SÍ",,1.26328091655572
200928,"ROBATORI/S DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","SANT MARTÍ","EL CAMP DE L'ARPA DEL CLOT","EL CAMP DE L'ARPA DEL CLOT","A UN CARRER TRANSITAT",,,,,"8","NO, I NO SAP QUI HO VA FER",,"NO, NO HO VA DENUNCIAR","SÍ","NO","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","HORTA-GUINARDÓ","DONA","DE 45 A 64 ANYS","ESPANYOLA","MITJÀ","QUATRE O MÉS","SEGURETAT PERSONAL","SÍ","ALTRES DISTRICTES",1.06568948435917
200929,"ROBATORI/S AL SEU DOMICILI","PRIMER CAS","SÍ",,,"SÍ","BARCELONA","BARCELONA","LES CORTS","PEDRALBES","PEDRALBES",,,,,,"7","NO, I NO SAP QUI HO VA FER",,"SÍ, HO VA DENUNCIAR I VA FIRMAR UN DOCUMENT",,,,,,,,,,,,,,,,,,,,,,,"LES CORTS","DONA","DE 45 A 64 ANYS","ALTRES UNIÓ EUROPEA","MITJÀ","DUES","DOMICILI","SÍ","MATEIX DISTRICTE",0.409165840299941
200933,"INTENT/S DE ROBATORI A LA SEGONA RESIDÈNCIA","PRIMER CAS","NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SARRIÀ-SANT GERVASI","HOME","DE 16 A 29 ANYS","ESPANYOLA","ALT","QUATRE O MÉS","SEGONA RESIDÈNCIA","NO",,1.09905146548264
200933,"AGRESSIÓ FÍSICA","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","GRÀCIA","VALLCARCA I ELS PENITENTS","VALLCARCA I ELS PENITENTS","A UN CARRER AMB POCA GENT",,,,,"2","SÍ","NO EL/LA CONEIXIA","SÍ, HO VA DENUNCIAR I VA FIRMAR UN DOCUMENT",,,,,,,,,,,,,,,,,,,,,,,"SARRIÀ-SANT GERVASI","HOME","DE 16 A 29 ANYS","ESPANYOLA","ALT","QUATRE O MÉS","SEGURETAT PERSONAL","SÍ","ALTRES DISTRICTES",1.09905146548264
200938,"INTENT/S DE ROBATORI DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","A UNA ESTACIÓ DE TREN, METRO, FGC, AEROPORT O TERMINAL-ESTACIÓ D'AUTOBUSOS (VESTÍBULS, ANDANES, ESCALES,...)","L3 - LES CORTS",,,"L3 - LES CORTS","6","SÍ","NO EL/LA CONEIXIA","NO, NO HO VA DENUNCIAR","NO","NO","SÍ","NO","SÍ","NO","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NOU BARRIS","DONA","DE 45 A 64 ANYS","ESPANYOLA","MITJÀ","DUES","SEGURETAT PERSONAL","NO","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)",0.638569254250333
200943,"INTENT/S DE ROBATORI DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","DURANT EL TRAJECTE, DINS UN VAGÓ DE METRO, DE FGC, DE TRAMVIA, DE TREN O D'AUTOBÚS",,"METRO","METRO - LÍNIA 4 (GROGA)","L4","6","NO, I NO SAP QUI HO VA FER",,"NO, NO HO VA DENUNCIAR","NO","NO","NO","SÍ","SÍ","NO","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","HORTA-GUINARDÓ","DONA","DE 30 A 44 ANYS","ESPANYOLA","MITJÀ","TRES","SEGURETAT PERSONAL","NO","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)",1.25843928513075
200946,"INTENT/S DE ROBATORI AL SEU DOMICILI","PRIMER CAS","SÍ",,,"SÍ","BARCELONA","BARCELONA","LES CORTS","LA MATERNITAT I SANT RAMON","LA MATERNITAT I SANT RAMON",,,,,,"7","SÍ","NO EL/LA CONEIXIA","SÍ, HO VA DENUNCIAR PERÒ NO VA ARRIBAR A FIRMAR CAP DOCUMENT","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","LES CORTS","DONA","DE 30 A 44 ANYS","ESPANYOLA","MITJÀ","DUES","DOMICILI","NO","MATEIX DISTRICTE",0.572166048032247
200948,"CÀRRECS INDEGUTS A LA TARGETA BANCÀRIA O EXTRACCIÓ DE COMPTES BANCARIS","PRIMER CAS","SÍ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SANTS-MONTJUÏC","HOME","DE 45 A 64 ANYS","ESPANYOLA","MITJÀ","QUATRE O MÉS","SEGURETAT PERSONAL","SÍ",,1.18653040943602
200953,"INTENT/S DE ROBATORI DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","EIXAMPLE","LA NOVA ESQUERRA DE L'EIXAMPLE","LA NOVA ESQUERRA DE L'EIXAMPLE","A UN CENTRE COMERCIAL, BOTIGA O MERCAT MUNICIPAL",,,,,"6","NO, I NO SAP QUI HO VA FER",,"NO, NO HO VA DENUNCIAR","SÍ","NO","SÍ","NO","SÍ","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","CIUTAT VELLA","DONA","DE 16 A 29 ANYS","ALTRES UNIÓ EUROPEA","MITJÀ","NO CONTESTA","SEGURETAT PERSONAL","NO","ALTRES DISTRICTES",0.734224052744364
200953,"INTENT/S DE ROBATORI DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","SEGON CAS","SÍ",,,,"BARCELONA","BARCELONA","CIUTAT VELLA","EL RAVAL","EL RAVAL","A UNA DISCOTECA O BAR MUSICAL",,,,,"10 = LI VA AFECTAR MOLTÍSSIM","SÍ","NO EL/LA CONEIXIA","NO, NO HO VA DENUNCIAR","SÍ","SÍ","SÍ","NO","NO","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","CIUTAT VELLA","DONA","DE 16 A 29 ANYS","ALTRES UNIÓ EUROPEA","MITJÀ","NO CONTESTA","SEGURETAT PERSONAL","NO","MATEIX DISTRICTE",0.734224052744364
200953,"INTENT/S DE ROBATORI DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","TERCER CAS","SÍ",,,,"BARCELONA","BARCELONA","CIUTAT VELLA","EL RAVAL","EL RAVAL","A LA SEVA ESCALA DE VEÏNS / ASCENSOR / PORTAL-PORTERIA",,,,,"3","SÍ","NO EL/LA CONEIXIA","NO, NO HO VA DENUNCIAR","SÍ","NO","SÍ","NO","NO","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","CIUTAT VELLA","DONA","DE 16 A 29 ANYS","ALTRES UNIÓ EUROPEA","MITJÀ","NO CONTESTA","SEGURETAT PERSONAL","NO","MATEIX DISTRICTE",0.734224052744364
200953,"INTENT/S DE ROBATORI DEL TELÈFON MÒBIL","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","A UNA ESTACIÓ DE TREN, METRO, FGC, AEROPORT O TERMINAL-ESTACIÓ D'AUTOBUSOS (VESTÍBULS, ANDANES, ESCALES,...)","ARC DEL TRIOMF (METRO, RENFE)",,,"ARC DEL TRIOMF (METRO, RENFE)","3","SÍ","NO EL/LA CONEIXIA","NO, NO HO VA DENUNCIAR","SÍ","SÍ","SÍ","NO","NO","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","CIUTAT VELLA","DONA","DE 16 A 29 ANYS","ALTRES UNIÓ EUROPEA","MITJÀ","NO CONTESTA","SEGURETAT PERSONAL","NO","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)",0.734224052744364
200953,"COBRAR INDEGUDAMENT INSPECCIONS DE SERVEIS","PRIMER CAS","NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CIUTAT VELLA","DONA","DE 16 A 29 ANYS","ALTRES UNIÓ EUROPEA","MITJÀ","NO CONTESTA","SEGURETAT PERSONAL","SÍ",,0.734224052744364
200955,"ROBATORI/S D’ACCESSORIS O PARTS DEL VEHICLE","PRIMER CAS","NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L'EIXAMPLE","DONA","DE 45 A 64 ANYS","ESPANYOLA","MITJÀ","DUES","VEHICLE","SÍ",,1.51679633217546
200962,"INTENT/S DE ROBATORI DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","A UNA ESTACIÓ DE TREN, METRO, FGC, AEROPORT O TERMINAL-ESTACIÓ D'AUTOBUSOS (VESTÍBULS, ANDANES, ESCALES,...)","VERDAGUER",,,"VERDAGUER","4","SÍ","NO EL/LA CONEIXIA","NO, NO HO VA DENUNCIAR","SÍ","NO","NO","NO","NO","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","GRÀCIA","HOME","DE 45 A 64 ANYS","ESPANYOLA","MITJÀ","DUES","SEGURETAT PERSONAL","NO","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)",0.775081970152648
200963,"ROBATORI/S D’ACCESSORIS O PARTS DEL VEHICLE","PRIMER CAS","SÍ","COTXE","NO HO SAP / NO HO RECORDA",,"BARCELONA","BARCELONA","SANT ANDREU","BARÓ DE VIVER","BARÓ DE VIVER",,,,,,"3","NO, I NO SAP QUI HO VA FER",,"NO, NO HO VA DENUNCIAR","NO","NO","SÍ","SÍ","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SANT ANDREU","HOME","DE 30 A 44 ANYS","ESPANYOLA","MITJÀ","TRES","VEHICLE","SÍ","MATEIX DISTRICTE",0.780914786195747
200965,"ROBATORI/S D’ACCESSORIS O PARTS DEL VEHICLE","PRIMER CAS","SÍ","MOTO, VESPA O CICLOMOTOR","AL CARRER",,"BARCELONA","BARCELONA","SANTS - MONTJUÏC","EL POBLE SEC","EL POBLE SEC",,,,,,"5","NO, I NO SAP QUI HO VA FER",,"NO, NO HO VA DENUNCIAR","SÍ","NO","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SARRIÀ-SANT GERVASI","HOME","DE 45 A 64 ANYS","ESPANYOLA","MITJÀ","DUES","VEHICLE","SÍ","ALTRES DISTRICTES",0.984028784394438
200965,"ROBATORI/S DEL TELÈFON MÒBIL","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","DURANT EL TRAJECTE, DINS UN VAGÓ DE METRO, DE FGC, DE TRAMVIA, DE TREN O D'AUTOBÚS",,"AUTOBÚS","AUTOBÚS","AUTOBÚS","6","NO, I NO SAP QUI HO VA FER",,"NO, NO HO VA DENUNCIAR","SÍ","NO","SÍ","NO","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SARRIÀ-SANT GERVASI","HOME","DE 45 A 64 ANYS","ESPANYOLA","MITJÀ","DUES","SEGURETAT PERSONAL","SÍ","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)",0.984028784394438
200966,"ROBATORI/S D’ACCESSORIS O PARTS DEL VEHICLE","PRIMER CAS","SÍ","BICICLETA","AL CARRER",,"BARCELONA","BARCELONA","SARRIÀ - SANT GERVASI","SANT GERVASI-LA BONANOVA","SANT GERVASI-LA BONANOVA",,,,,,"7","NO, I NO SAP QUI HO VA FER",,"NO, NO HO VA DENUNCIAR","SÍ","NO","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","HORTA-GUINARDÓ","DONA","DE 30 A 44 ANYS","RESTA PAÏSOS","MITJÀ","QUATRE O MÉS","VEHICLE","SÍ","ALTRES DISTRICTES",0.82459321426317
200966,"ROBATORI/S DEL VEHICLE SENCER","PRIMER CAS","SÍ","BICICLETA","AL CARRER",,"BARCELONA","BARCELONA","LES CORTS","LES CORTS","LES CORTS",,,,,,"10 = LI VA AFECTAR MOLTÍSSIM","SÍ","NO EL/LA CONEIXIA","SÍ, HO VA DENUNCIAR I VA FIRMAR UN DOCUMENT",,,,,,,,,,,,,,,,,,,,,,,"HORTA-GUINARDÓ","DONA","DE 30 A 44 ANYS","RESTA PAÏSOS","MITJÀ","QUATRE O MÉS","VEHICLE","SÍ","ALTRES DISTRICTES",0.82459321426317
200966,"INTENT/S DE ROBATORI DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","DURANT EL TRAJECTE, DINS UN VAGÓ DE METRO, DE FGC, DE TRAMVIA, DE TREN O D'AUTOBÚS",,"METRO","METRO - LÍNIA 5 (BLAVA)","L5","8","SÍ","NO EL/LA CONEIXIA","NO, NO HO VA DENUNCIAR","SÍ","NO","SÍ","NO","NO","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","HORTA-GUINARDÓ","DONA","DE 30 A 44 ANYS","RESTA PAÏSOS","MITJÀ","QUATRE O MÉS","SEGURETAT PERSONAL","NO","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)",0.82459321426317
200966,"INTENT/S DE ROBATORI DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","SEGON CAS","SÍ",,,,"BARCELONA","BARCELONA","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","A UNA ESTACIÓ DE TREN, METRO, FGC, AEROPORT O TERMINAL-ESTACIÓ D'AUTOBUSOS (VESTÍBULS, ANDANES, ESCALES,...)","L5 - SANT PAU/DOS DE MAIG",,,"L5 - SANT PAU/DOS DE MAIG","8","SÍ","NO EL/LA CONEIXIA","NO, NO HO VA DENUNCIAR","SÍ","NO","SÍ","NO","NO","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","HORTA-GUINARDÓ","DONA","DE 30 A 44 ANYS","RESTA PAÏSOS","MITJÀ","QUATRE O MÉS","SEGURETAT PERSONAL","NO","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)",0.82459321426317
